title,description,location,cityname,time
Car Theft,Drug dealing reported in an alleyway downtown.,"23.632441610613235,58.42071086427106",Muscat,2025-01-10 06:22:31
Vandalism,Graffiti and property damage reported near the city square.,"30.04338396925938,31.283727385776253",Cairo,2025-02-01 03:48:31
Suspicious Activity,A car was stolen from a parking lot near the mall.,"23.571107971346404,58.3621882918051",Muscat,2025-01-07 07:23:31
Pickpocketing Incident,A group of individuals acting suspiciously near a bank.,"26.22510313234987,50.60908346666108",Manama,2025-01-04 10:59:31
Firearm Discharge,Authorities suspect human trafficking in the area.,"33.30137417279286,44.39601290061439",Baghdad,2025-01-22 18:50:31
Assault Reported,A pickpocket was seen stealing a wallet in a crowded market.,"33.347144491266114,44.39563712400399",Baghdad,2025-01-17 10:11:31
Armed Robbery,A car was stolen from a parking lot near the mall.,"33.911377960104375,35.494919014724175",Beirut,2025-01-04 18:29:31
Suspicious Activity,A website was found collecting user data illegally.,"24.683037058057455,46.64653478167802",Riyadh,2025-01-08 04:14:31
Car Theft,A person was caught using a fake ID to withdraw money.,"33.26688301373505,44.346286067473244",Baghdad,2025-01-31 08:28:31
Armed Robbery,Drug dealing reported in an alleyway downtown.,"24.709772377471566,46.65493213542347",Riyadh,2025-01-28 15:19:31
Pickpocketing Incident,A group of individuals acting suspiciously near a bank.,"24.737336961572375,46.63749240031671",Riyadh,2025-01-05 12:34:31
Vandalism,A car was stolen from a parking lot near the mall.,"33.86433810719373,35.49777317192325",Beirut,2025-01-07 10:29:31
Scam Alert,A kidnapping attempt was thwarted near a school.,"26.271507317018276,50.57477464876284",Manama,2025-01-10 20:02:31
Car Theft,Authorities suspect human trafficking in the area.,"24.730305228686067,46.648315614797355",Riyadh,2025-01-02 05:49:31
Suspicious Activity,A pickpocket was seen stealing a wallet in a crowded market.,"2.0222939167500944,45.29161356311291",Mogadishu,2025-01-30 22:27:31
Suspicious Activity,An armed robbery took place at a jewelry store.,"24.71076215877493,46.63824969538875",Riyadh,2025-01-16 16:22:31
Firearm Discharge,A pickpocket was seen stealing a wallet in a crowded market.,"36.76284625893347,10.138737757543623",Tunis,2025-02-01 10:11:31
Illegal Gathering,A pickpocket was seen stealing a wallet in a crowded market.,"25.31859897897028,51.56832869772896",Doha,2025-01-08 16:12:31
Firearm Discharge,Drug dealing reported in an alleyway downtown.,"25.26927824580644,51.541678191396194",Doha,2025-01-30 07:24:31
Cyber Crime,Gunshots were heard in a residential neighborhood.,"26.269412826459575,50.597462965788864",Manama,2025-01-21 15:13:31
Assault Reported,A burglary is in progress at a residential apartment.,"30.05597521753575,31.236910710189147",Cairo,2025-01-27 09:55:31
Human Trafficking Suspected,Multiple people reported a phone scam in the area.,"33.29639407732821,44.393320051741405",Baghdad,2025-01-13 15:34:31
Cyber Crime,A burglary is in progress at a residential apartment.,"30.07913521192822,31.24073805233498",Cairo,2025-01-04 00:18:31
Suspicious Package,A kidnapping attempt was thwarted near a school.,"36.73950871453365,3.112845693685308",Algiers,2025-01-11 21:34:31
Armed Robbery,A person was assaulted near a public park.,"33.35315385530056,44.39633819791555",Baghdad,2025-01-11 18:22:31
Assault Reported,An armed robbery took place at a jewelry store.,"31.973950198876867,35.912801847690574",Amman,2025-01-19 11:40:31
Cyber Crime,Drug dealing reported in an alleyway downtown.,"32.86392617822103,13.153860265001512",Tripoli,2025-01-18 10:14:31
Suspicious Activity,A person was assaulted near a public park.,"33.93166188359057,35.53256241942061",Beirut,2025-01-18 13:45:31
Vandalism,Drug dealing reported in an alleyway downtown.,"33.92313154374825,35.511058659230116",Beirut,2025-01-07 18:36:31
Assault Reported,A kidnapping attempt was thwarted near a school.,"30.07097958948383,31.27820031287008",Cairo,2025-01-16 04:09:31
Human Trafficking Suspected,A person was caught using a fake ID to withdraw money.,"29.4104757870097,48.020473259995896",Kuwait City,2025-01-15 19:55:31
Fraudulent Activity,A group of individuals acting suspiciously near a bank.,"36.76657283753406,10.213485218145358",Tunis,2025-01-09 02:50:31
Vandalism,Graffiti and property damage reported near the city square.,"25.323867375508865,55.27359767161679",Dubai,2025-01-29 06:29:31
Car Theft,Graffiti and property damage reported near the city square.,"30.07518398117405,31.224881411087136",Cairo,2025-02-01 07:41:31
Vandalism,Authorities suspect human trafficking in the area.,"24.743003174327146,46.66319835997028",Riyadh,2025-01-06 16:27:31
Vandalism,A group of individuals acting suspiciously near a bank.,"31.924784205566834,35.98217371563779",Amman,2025-01-21 23:17:31
Kidnapping Attempt,An armed robbery took place at a jewelry store.,"1.9982264412668285,45.33007647846134",Mogadishu,2025-01-20 04:04:31
Firearm Discharge,Gunshots were heard in a residential neighborhood.,"25.231423195550306,55.296419059059396",Dubai,2025-01-12 02:05:31
Firearm Discharge,A car was stolen from a parking lot near the mall.,"23.587231625951212,58.443405479315025",Muscat,2025-01-13 08:41:31
Human Trafficking Suspected,Multiple people reported a phone scam in the area.,"32.93015667035359,13.198504527177548",Tripoli,2025-01-02 03:19:31
Vandalism,A website was found collecting user data illegally.,"30.01588174994974,31.25042302783036",Cairo,2025-01-15 23:58:31
